Item,Cost for item,Amount used,Price for amount used,Purchase link,Notes
Filament,Aprox $9.99,7G,$0.28,https://a.co/d/00GQwUE4,"Exact item was discontinued, used same size and brand"
Duro Super Glue,$6.00,Aprox 0.25G,$0.38,https://a.co/d/07y80hyt,"Do not know exact weight, I estimated as close as possible"
